pos,shift,relay
84,146,LaTrappe-42
85,208,LaTrappe-42
86,24,LaTrappe-42
87,54,LaTrappe-42
88,59,LaTrappe-42
89,1,LaTrappe-42
90,23,LaTrappe-42
91,,LaTrappe-42
92,165,LaTrappe-42
93,84,LaTrappe-42
94,104,LaTrappe-42
95,139,LaTrappe-42
96,200,LaTrappe-42
97,171,LaTrappe-42
98,46,LaTrappe-42
99,6,LaTrappe-42
100,90,LaTrappe-42
101,,LaTrappe-42
102,90,LaTrappe-42
103,1,LaTrappe-42
104,175,LaTrappe-42
105,146,LaTrappe-42
106,202,LaTrappe-42
107,137,LaTrappe-42
108,55,LaTrappe-42
109,28,LaTrappe-42
110,158,LaTrappe-42
111,183,LaTrappe-42
112,71,LaTrappe-42
113,,LaTrappe-42
114,192,LaTrappe-42
115,3,LaTrappe-42
116,187,LaTrappe-42
117,54,LaTrappe-42
118,145,LaTrappe-42
119,75,LaTrappe-42
120,144,LaTrappe-42
121,68,LaTrappe-42
122,171,LaTrappe-42
123,128,LaTrappe-42
124,,LaTrappe-42
125,,LaTrappe-42
126,200,LaTrappe-42
127,67,LaTrappe-42
128,24,LaTrappe-42
129,111,LaTrappe-42
130,123,LaTrappe-42
131,,LaTrappe-42
132,175,LaTrappe-42
133,15,LaTrappe-42
134,194,LaTrappe-42
135,99,LaTrappe-42
136,184,LaTrappe-42
137,205,LaTrappe-42
138,24,LaTrappe-42
139,165,LaTrappe-42
140,161,LaTrappe-42
141,27,LaTrappe-42
142,129,LaTrappe-42
143,80,LaTrappe-42
144,70,LaTrappe-42
145,150,LaTrappe-42
146,16,LaTrappe-42
147,74,LaTrappe-42
148,80,LaTrappe-42
149,41,LaTrappe-42
150,66,LaTrappe-42
151,189,LaTrappe-42
0,130,TyntMeadow-88
1,121,TyntMeadow-88
2,83,TyntMeadow-88
3,34,TyntMeadow-88
4,77,TyntMeadow-88
5,115,TyntMeadow-88
6,83,TyntMeadow-88
7,31,TyntMeadow-88
8,127,TyntMeadow-88
9,119,TyntMeadow-88
10,146,TyntMeadow-88
11,158,TyntMeadow-88
12,206,TyntMeadow-88
13,43,TyntMeadow-88
14,39,TyntMeadow-88
15,151,TyntMeadow-88
16,133,TyntMeadow-88
17,52,TyntMeadow-88
18,111,TyntMeadow-88
19,159,TyntMeadow-88
20,86,TyntMeadow-88
21,117,TyntMeadow-88
22,153,TyntMeadow-88
23,,TyntMeadow-88
24,173,TyntMeadow-88
25,181,TyntMeadow-88
26,17,TyntMeadow-88
27,140,TyntMeadow-88
28,102,TyntMeadow-88
29,8,TyntMeadow-88
30,50,TyntMeadow-88
31,165,TyntMeadow-88
32,44,TyntMeadow-88
33,11,TyntMeadow-88
34,,TyntMeadow-88
35,139,TyntMeadow-88
36,12,TyntMeadow-88
37,115,TyntMeadow-88
38,37,TyntMeadow-88
39,164,TyntMeadow-88
40,48,TyntMeadow-88
41,123,TyntMeadow-88
42,182,TyntMeadow-88
43,173,TyntMeadow-88
44,5,TyntMeadow-88
45,33,TyntMeadow-88
46,165,TyntMeadow-88
47,135,TyntMeadow-88
48,55,TyntMeadow-88
49,201,TyntMeadow-88
50,63,TyntMeadow-88
51,35,TyntMeadow-88
52,78,TyntMeadow-88
53,167,TyntMeadow-88
54,47,TyntMeadow-88
55,99,TyntMeadow-88
56,69,TyntMeadow-88
57,108,TyntMeadow-88
58,136,TyntMeadow-88
59,106,TyntMeadow-88
60,20,TyntMeadow-88
61,26,TyntMeadow-88
62,78,TyntMeadow-88
63,91,TyntMeadow-88
64,102,TyntMeadow-88
65,44,TyntMeadow-88
66,67,TyntMeadow-88
67,118,TyntMeadow-88
68,127,TyntMeadow-88
69,199,TyntMeadow-88
70,208,TyntMeadow-88
71,106,TyntMeadow-88
72,73,TyntMeadow-88
73,119,TyntMeadow-88
74,,TyntMeadow-88
75,83,TyntMeadow-88
76,132,TyntMeadow-88
77,123,TyntMeadow-88
78,33,TyntMeadow-88
79,,TyntMeadow-88
80,,TyntMeadow-88
81,,TyntMeadow-88
82,134,TyntMeadow-88
83,203,TyntMeadow-88
84,70,TyntMeadow-88
85,208,TyntMeadow-88
86,24,TyntMeadow-88
87,103,TyntMeadow-88
88,59,TyntMeadow-88
89,,TyntMeadow-88
90,23,TyntMeadow-88
91,160,TyntMeadow-88
92,165,TyntMeadow-88
93,84,TyntMeadow-88
94,104,TyntMeadow-88
95,139,TyntMeadow-88
96,200,TyntMeadow-88
97,171,TyntMeadow-88
98,46,TyntMeadow-88
99,6,TyntMeadow-88
100,90,TyntMeadow-88
101,40,TyntMeadow-88
102,90,TyntMeadow-88
103,143,TyntMeadow-88
104,175,TyntMeadow-88
105,146,TyntMeadow-88
106,202,TyntMeadow-88
107,137,TyntMeadow-88
108,55,TyntMeadow-88
109,11,TyntMeadow-88
110,,TyntMeadow-88
111,183,TyntMeadow-88
112,71,TyntMeadow-88
113,187,TyntMeadow-88
114,192,TyntMeadow-88
115,145,TyntMeadow-88
116,187,TyntMeadow-88
117,54,TyntMeadow-88
118,145,TyntMeadow-88
119,75,TyntMeadow-88
120,96,TyntMeadow-88
121,68,TyntMeadow-88
122,171,TyntMeadow-88
123,142,TyntMeadow-88
124,,TyntMeadow-88
125,25,TyntMeadow-88
126,200,TyntMeadow-88
127,67,TyntMeadow-88
128,24,TyntMeadow-88
129,104,TyntMeadow-88
130,100,TyntMeadow-88
131,27,TyntMeadow-88
132,175,TyntMeadow-88
133,15,TyntMeadow-88
134,194,TyntMeadow-88
135,91,TyntMeadow-88
136,184,TyntMeadow-88
137,205,TyntMeadow-88
138,47,TyntMeadow-88
139,165,TyntMeadow-88
140,161,TyntMeadow-88
141,27,TyntMeadow-88
142,129,TyntMeadow-88
143,80,TyntMeadow-88
144,70,TyntMeadow-88
145,,TyntMeadow-88
146,16,TyntMeadow-88
147,,TyntMeadow-88
148,80,TyntMeadow-88
149,,TyntMeadow-88
150,66,TyntMeadow-88
151,65,TyntMeadow-88
0,130,Achel-19
1,121,Achel-19
2,83,Achel-19
3,1e,Achel-19
4,…,Achel-19
5,,Achel-19
6,83,Achel-19
7,58,Achel-19
8,ехи,Achel-19
9,185,Achel-19
10,,Achel-19
11,,Achel-19
12,206,Achel-19
13,43,Achel-19
14,39,Achel-19
15,151,Achel-19
16,N/A,Achel-19
17,52,Achel-19
18,21,Achel-19
19,sig,Achel-19
20,86,Achel-19
21,117,Achel-19
22,153,Achel-19
23,59,Achel-19
24,ехи,Achel-19
25,181,Achel-19
26,,Achel-19
27,140,Achel-19
28,@@,Achel-19
29,8,Achel-19
30,--,Achel-19
31,ERR,Achel-19
32,44,Achel-19
33,,Achel-19
34,sig,Achel-19
35,☼,Achel-19
36,,Achel-19
37,115,Achel-19
38,44,Achel-19
39,1e,Achel-19
40,48,Achel-19
41,123,Achel-19
42,182,Achel-19
43,173,Achel-19
44,5,Achel-19
45,33,Achel-19
46,90,Achel-19
47,19,Achel-19
48,55,Achel-19
49,201,Achel-19
50,…,Achel-19
51,35,Achel-19
52,41,Achel-19
53,169,Achel-19
54,47,Achel-19
55,99,Achel-19
56,69,Achel-19
57,sig,Achel-19
58,,Achel-19
59,106,Achel-19
60,89,Achel-19
61,98,Achel-19
62,,Achel-19
63,57,Achel-19
64,88,Achel-19
65,44,Achel-19
66,67,Achel-19
67,118,Achel-19
68,ok,Achel-19
69,199,Achel-19
70,,Achel-19
71,106,Achel-19
72,73,Achel-19
73,119,Achel-19
74,45,Achel-19
75,83,Achel-19
76,132,Achel-19
77,123,Achel-19
78,113,Achel-19
79,30,Achel-19
80,134,Achel-19
81,…,Achel-19
82,,Achel-19
83,,Achel-19
84,70,Achel-19
85,208,Achel-19
86,,Achel-19
87,54,Achel-19
88,,Achel-19
89,1,Achel-19
90,,Achel-19
91,116,Achel-19
92,165,Achel-19
93,84,Achel-19
94,104,Achel-19
95,139,Achel-19
96,N/A,Achel-19
97,,Achel-19
98,lost,Achel-19
99,6,Achel-19
100,90,Achel-19
101,40,Achel-19
102,,Achel-19
103,143,Achel-19
104,,Achel-19
105,2026-09-13,Achel-19
106,52,Achel-19
107,189,Achel-19
108,sig,Achel-19
109,n/a,Achel-19
110,158,Achel-19
111,183,Achel-19
112,95,Achel-19
113,,Achel-19
114,,Achel-19
115,N/A,Achel-19
116,187,Achel-19
117,54,Achel-19
118,12:40,Achel-19
119,75,Achel-19
120,144,Achel-19
121,68,Achel-19
122,165,Achel-19
123,142,Achel-19
124,33,Achel-19
125,--,Achel-19
126,200,Achel-19
127,,Achel-19
128,24,Achel-19
129,12:40,Achel-19
130,43,Achel-19
131,ехи,Achel-19
132,175,Achel-19
133,,Achel-19
134,194,Achel-19
135,,Achel-19
136,184,Achel-19
137,57,Achel-19
138,47,Achel-19
139,165,Achel-19
140,2026-09-13,Achel-19
141,27,Achel-19
142,110,Achel-19
143,80,Achel-19
144,70,Achel-19
145,lost,Achel-19
146,16,Achel-19
147,13.09.2026,Achel-19
148,80,Achel-19
149,41,Achel-19
150,--,Achel-19
151,65,Achel-19
0,9,Westmalle-31
1,121,Westmalle-31
2,,Westmalle-31
3,119,Westmalle-31
4,77,Westmalle-31
5,110,Westmalle-31
6,110,Westmalle-31
7,125,Westmalle-31
8,127,Westmalle-31
9,,Westmalle-31
10,146,Westmalle-31
11,,Westmalle-31
12,206,Westmalle-31
13,153,Westmalle-31
14,39,Westmalle-31
15,151,Westmalle-31
16,112,Westmalle-31
17,52,Westmalle-31
18,36,Westmalle-31
19,168,Westmalle-31
20,151,Westmalle-31
21,192,Westmalle-31
22,9,Westmalle-31
23,46,Westmalle-31
24,173,Westmalle-31
25,62,Westmalle-31
26,17,Westmalle-31
27,208,Westmalle-31
28,47,Westmalle-31
29,59,Westmalle-31
30,137,Westmalle-31
31,141,Westmalle-31
32,44,Westmalle-31
33,181,Westmalle-31
34,120,Westmalle-31
35,47,Westmalle-31
36,185,Westmalle-31
37,0,Westmalle-31
38,193,Westmalle-31
39,164,Westmalle-31
40,48,Westmalle-31
41,207,Westmalle-31
42,63,Westmalle-31
43,,Westmalle-31
44,194,Westmalle-31
45,98,Westmalle-31
46,165,Westmalle-31
47,,Westmalle-31
48,67,Westmalle-31
49,172,Westmalle-31
50,61,Westmalle-31
51,35,Westmalle-31
52,126,Westmalle-31
53,57,Westmalle-31
54,18,Westmalle-31
55,152,Westmalle-31
56,89,Westmalle-31
57,121,Westmalle-31
58,136,Westmalle-31
59,106,Westmalle-31
60,20,Westmalle-31
61,125,Westmalle-31
62,5,Westmalle-31
63,206,Westmalle-31
64,,Westmalle-31
65,152,Westmalle-31
66,34,Westmalle-31
67,118,Westmalle-31
68,127,Westmalle-31
69,199,Westmalle-31
70,,Westmalle-31
71,84,Westmalle-31
72,73,Westmalle-31
73,,Westmalle-31
74,189,Westmalle-31
75,83,Westmalle-31
76,132,Westmalle-31
77,123,Westmalle-31
78,208,Westmalle-31
79,23,Westmalle-31
80,148,Westmalle-31
81,31,Westmalle-31
82,61,Westmalle-31
83,94,Westmalle-31
84,70,Westmalle-31
85,,Westmalle-31
86,24,Westmalle-31
87,177,Westmalle-31
88,11,Westmalle-31
89,2,Westmalle-31
90,12,Westmalle-31
91,,Westmalle-31
92,4,Westmalle-31
93,63,Westmalle-31
94,53,Westmalle-31
95,11,Westmalle-31
96,195,Westmalle-31
97,179,Westmalle-31
98,46,Westmalle-31
99,105,Westmalle-31
100,,Westmalle-31
101,60,Westmalle-31
102,90,Westmalle-31
103,,Westmalle-31
104,199,Westmalle-31
105,203,Westmalle-31
106,57,Westmalle-31
107,,Westmalle-31
108,84,Westmalle-31
109,28,Westmalle-31
110,,Westmalle-31
111,115,Westmalle-31
112,61,Westmalle-31
113,142,Westmalle-31
114,31,Westmalle-31
115,109,Westmalle-31
116,41,Westmalle-31
117,175,Westmalle-31
118,194,Westmalle-31
119,75,Westmalle-31
120,144,Westmalle-31
121,21,Westmalle-31
122,120,Westmalle-31
123,142,Westmalle-31
124,33,Westmalle-31
125,25,Westmalle-31
126,,Westmalle-31
127,125,Westmalle-31
128,24,Westmalle-31
129,120,Westmalle-31
130,43,Westmalle-31
131,144,Westmalle-31
132,167,Westmalle-31
133,15,Westmalle-31
134,194,Westmalle-31
135,123,Westmalle-31
136,147,Westmalle-31
137,205,Westmalle-31
138,,Westmalle-31
139,31,Westmalle-31
140,130,Westmalle-31
141,27,Westmalle-31
142,,Westmalle-31
143,,Westmalle-31
144,70,Westmalle-31
145,,Westmalle-31
146,68,Westmalle-31
147,74,Westmalle-31
148,,Westmalle-31
149,41,Westmalle-31
150,16,Westmalle-31
151,65,Westmalle-31
0,,Rochefort-10
1,121,Rochefort-10
2,83,Rochefort-10
3,174,Rochefort-10
4,77,Rochefort-10
5,115,Rochefort-10
6,83,Rochefort-10
7,31,Rochefort-10
8,127,Rochefort-10
9,119,Rochefort-10
10,146,Rochefort-10
11,158,Rochefort-10
12,206,Rochefort-10
13,43,Rochefort-10
14,39,Rochefort-10
15,151,Rochefort-10
16,133,Rochefort-10
17,52,Rochefort-10
18,111,Rochefort-10
19,159,Rochefort-10
20,86,Rochefort-10
21,117,Rochefort-10
22,,Rochefort-10
23,59,Rochefort-10
24,173,Rochefort-10
25,,Rochefort-10
26,17,Rochefort-10
27,140,Rochefort-10
28,102,Rochefort-10
29,,Rochefort-10
30,8,Rochefort-10
31,165,Rochefort-10
32,210,Rochefort-10
33,11,Rochefort-10
34,165,Rochefort-10
35,139,Rochefort-10
36,12,Rochefort-10
37,115,Rochefort-10
38,193,Rochefort-10
39,164,Rochefort-10
40,48,Rochefort-10
41,123,Rochefort-10
42,161,Rochefort-10
43,173,Rochefort-10
44,5,Rochefort-10
45,28,Rochefort-10
46,165,Rochefort-10
47,186,Rochefort-10
48,55,Rochefort-10
49,201,Rochefort-10
50,132,Rochefort-10
51,35,Rochefort-10
52,41,Rochefort-10
53,169,Rochefort-10
54,47,Rochefort-10
55,,Rochefort-10
56,69,Rochefort-10
57,108,Rochefort-10
58,136,Rochefort-10
59,106,Rochefort-10
60,20,Rochefort-10
61,98,Rochefort-10
62,78,Rochefort-10
63,47,Rochefort-10
64,88,Rochefort-10
65,44,Rochefort-10
66,67,Rochefort-10
67,118,Rochefort-10
68,127,Rochefort-10
69,199,Rochefort-10
70,,Rochefort-10
71,175,Rochefort-10
72,191,Rochefort-10
73,93,Rochefort-10
74,45,Rochefort-10
75,83,Rochefort-10
76,132,Rochefort-10
77,123,Rochefort-10
78,113,Rochefort-10
79,30,Rochefort-10
80,134,Rochefort-10
81,203,Rochefort-10
82,134,Rochefort-10
83,203,Rochefort-10
84,70,Rochefort-10
85,208,Rochefort-10
86,24,Rochefort-10
87,54,Rochefort-10
88,59,Rochefort-10
89,,Rochefort-10
90,23,Rochefort-10
91,116,Rochefort-10
92,165,Rochefort-10
93,84,Rochefort-10
94,,Rochefort-10
95,139,Rochefort-10
96,200,Rochefort-10
97,171,Rochefort-10
98,46,Rochefort-10
99,90,Rochefort-10
100,90,Rochefort-10
101,40,Rochefort-10
102,90,Rochefort-10
103,143,Rochefort-10
104,175,Rochefort-10
105,,Rochefort-10
106,202,Rochefort-10
107,208,Rochefort-10
108,55,Rochefort-10
109,28,Rochefort-10
110,158,Rochefort-10
111,183,Rochefort-10
112,71,Rochefort-10
113,,Rochefort-10
114,192,Rochefort-10
115,145,Rochefort-10
116,187,Rochefort-10
117,,Rochefort-10
118,145,Rochefort-10
119,,Rochefort-10
120,144,Rochefort-10
121,68,Rochefort-10
122,171,Rochefort-10
123,142,Rochefort-10
124,,Rochefort-10
125,,Rochefort-10
126,,Rochefort-10
127,67,Rochefort-10
128,24,Rochefort-10
129,111,Rochefort-10
130,,Rochefort-10
131,27,Rochefort-10
132,175,Rochefort-10
133,15,Rochefort-10
134,180,Rochefort-10
135,,Rochefort-10
136,184,Rochefort-10
137,205,Rochefort-10
138,47,Rochefort-10
139,165,Rochefort-10
140,,Rochefort-10
141,27,Rochefort-10
142,209,Rochefort-10
143,80,Rochefort-10
144,70,Rochefort-10
145,150,Rochefort-10
146,16,Rochefort-10
147,74,Rochefort-10
148,80,Rochefort-10
149,41,Rochefort-10
150,66,Rochefort-10
151,,Rochefort-10
0,22,Engelszell-28
1,121,Engelszell-28
2,,Engelszell-28
3,,Engelszell-28
4,,Engelszell-28
5,115,Engelszell-28
6,83,Engelszell-28
7,,Engelszell-28
8,127,Engelszell-28
9,119,Engelszell-28
10,,Engelszell-28
11,,Engelszell-28
12,46,Engelszell-28
13,43,Engelszell-28
14,39,Engelszell-28
15,151,Engelszell-28
16,133,Engelszell-28
17,52,Engelszell-28
18,111,Engelszell-28
19,159,Engelszell-28
20,86,Engelszell-28
21,,Engelszell-28
22,153,Engelszell-28
23,172,Engelszell-28
24,,Engelszell-28
25,181,Engelszell-28
26,17,Engelszell-28
27,140,Engelszell-28
28,102,Engelszell-28
29,8,Engelszell-28
30,,Engelszell-28
31,165,Engelszell-28
32,44,Engelszell-28
33,11,Engelszell-28
34,165,Engelszell-28
35,139,Engelszell-28
36,12,Engelszell-28
37,115,Engelszell-28
38,,Engelszell-28
39,164,Engelszell-28
40,174,Engelszell-28
41,,Engelszell-28
42,96,Engelszell-28
43,173,Engelszell-28
44,113,Engelszell-28
45,176,Engelszell-28
46,165,Engelszell-28
47,74,Engelszell-28
48,55,Engelszell-28
49,201,Engelszell-28
50,207,Engelszell-28
51,35,Engelszell-28
52,41,Engelszell-28
53,169,Engelszell-28
54,47,Engelszell-28
55,99,Engelszell-28
56,69,Engelszell-28
57,108,Engelszell-28
58,,Engelszell-28
59,106,Engelszell-28
60,20,Engelszell-28
61,98,Engelszell-28
62,,Engelszell-28
63,47,Engelszell-28
64,88,Engelszell-28
65,44,Engelszell-28
66,67,Engelszell-28
67,118,Engelszell-28
68,127,Engelszell-28
69,129,Engelszell-28
70,208,Engelszell-28
71,137,Engelszell-28
72,73,Engelszell-28
73,119,Engelszell-28
74,45,Engelszell-28
75,83,Engelszell-28
76,200,Engelszell-28
77,123,Engelszell-28
78,113,Engelszell-28
79,30,Engelszell-28
80,134,Engelszell-28
81,200,Engelszell-28
82,141,Engelszell-28
83,203,Engelszell-28
84,70,Engelszell-28
85,208,Engelszell-28
86,160,Engelszell-28
87,54,Engelszell-28
88,59,Engelszell-28
89,186,Engelszell-28
90,23,Engelszell-28
91,116,Engelszell-28
92,,Engelszell-28
93,84,Engelszell-28
94,104,Engelszell-28
95,139,Engelszell-28
96,200,Engelszell-28
97,171,Engelszell-28
98,,Engelszell-28
99,6,Engelszell-28
100,90,Engelszell-28
101,40,Engelszell-28
102,90,Engelszell-28
103,143,Engelszell-28
104,175,Engelszell-28
105,146,Engelszell-28
106,202,Engelszell-28
107,137,Engelszell-28
108,55,Engelszell-28
109,28,Engelszell-28
110,158,Engelszell-28
111,183,Engelszell-28
112,71,Engelszell-28
113,142,Engelszell-28
114,192,Engelszell-28
115,145,Engelszell-28
116,187,Engelszell-28
117,100,Engelszell-28
118,145,Engelszell-28
119,75,Engelszell-28
120,144,Engelszell-28
121,68,Engelszell-28
122,126,Engelszell-28
123,142,Engelszell-28
124,33,Engelszell-28
125,25,Engelszell-28
126,200,Engelszell-28
127,67,Engelszell-28
128,,Engelszell-28
129,111,Engelszell-28
130,,Engelszell-28
131,27,Engelszell-28
132,175,Engelszell-28
133,40,Engelszell-28
134,72,Engelszell-28
135,91,Engelszell-28
136,184,Engelszell-28
137,,Engelszell-28
138,187,Engelszell-28
139,165,Engelszell-28
140,161,Engelszell-28
141,27,Engelszell-28
142,129,Engelszell-28
143,80,Engelszell-28
144,70,Engelszell-28
145,15,Engelszell-28
146,16,Engelszell-28
147,74,Engelszell-28
148,80,Engelszell-28
149,,Engelszell-28
150,66,Engelszell-28
151,65,Engelszell-28
0,130,Koningshoeven-05
1,,Koningshoeven-05
2,83,Koningshoeven-05
3,174,Koningshoeven-05
4,77,Koningshoeven-05
5,115,Koningshoeven-05
6,83,Koningshoeven-05
7,31,Koningshoeven-05
8,127,Koningshoeven-05
9,119,Koningshoeven-05
10,146,Koningshoeven-05
11,,Koningshoeven-05
12,206,Koningshoeven-05
13,113,Koningshoeven-05
14,39,Koningshoeven-05
15,151,Koningshoeven-05
16,,Koningshoeven-05
17,52,Koningshoeven-05
18,111,Koningshoeven-05
19,159,Koningshoeven-05
20,86,Koningshoeven-05
21,117,Koningshoeven-05
22,153,Koningshoeven-05
23,59,Koningshoeven-05
24,173,Koningshoeven-05
25,181,Koningshoeven-05
26,17,Koningshoeven-05
27,,Koningshoeven-05
28,102,Koningshoeven-05
29,8,Koningshoeven-05
30,140,Koningshoeven-05
31,,Koningshoeven-05
32,85,Koningshoeven-05
33,,Koningshoeven-05
34,165,Koningshoeven-05
35,209,Koningshoeven-05
36,12,Koningshoeven-05
37,71,Koningshoeven-05
38,193,Koningshoeven-05
39,84,Koningshoeven-05
40,48,Koningshoeven-05
41,123,Koningshoeven-05
42,182,Koningshoeven-05
43,173,Koningshoeven-05
44,60,Koningshoeven-05
45,33,Koningshoeven-05
46,165,Koningshoeven-05
47,135,Koningshoeven-05
48,55,Koningshoeven-05
49,201,Koningshoeven-05
50,162,Koningshoeven-05
51,35,Koningshoeven-05
52,86,Koningshoeven-05
53,169,Koningshoeven-05
54,47,Koningshoeven-05
55,99,Koningshoeven-05
56,69,Koningshoeven-05
57,108,Koningshoeven-05
58,136,Koningshoeven-05
59,106,Koningshoeven-05
60,20,Koningshoeven-05
61,98,Koningshoeven-05
62,78,Koningshoeven-05
63,,Koningshoeven-05
64,88,Koningshoeven-05
65,44,Koningshoeven-05
66,67,Koningshoeven-05
67,118,Koningshoeven-05
68,127,Koningshoeven-05
69,199,Koningshoeven-05
70,208,Koningshoeven-05
71,142,Koningshoeven-05
72,73,Koningshoeven-05
73,119,Koningshoeven-05
74,45,Koningshoeven-05
75,,Koningshoeven-05
76,132,Koningshoeven-05
77,123,Koningshoeven-05
78,113,Koningshoeven-05
79,30,Koningshoeven-05
80,134,Koningshoeven-05
81,203,Koningshoeven-05
82,134,Koningshoeven-05
83,203,Koningshoeven-05
84,,Koningshoeven-05
85,208,Koningshoeven-05
86,24,Koningshoeven-05
87,54,Koningshoeven-05
88,59,Koningshoeven-05
89,1,Koningshoeven-05
90,23,Koningshoeven-05
91,116,Koningshoeven-05
92,165,Koningshoeven-05
93,84,Koningshoeven-05
94,104,Koningshoeven-05
95,139,Koningshoeven-05
96,,Koningshoeven-05
97,171,Koningshoeven-05
98,46,Koningshoeven-05
99,6,Koningshoeven-05
100,90,Koningshoeven-05
101,40,Koningshoeven-05
102,90,Koningshoeven-05
103,143,Koningshoeven-05
104,175,Koningshoeven-05
105,75,Koningshoeven-05
106,202,Koningshoeven-05
107,137,Koningshoeven-05
108,,Koningshoeven-05
109,28,Koningshoeven-05
110,158,Koningshoeven-05
111,183,Koningshoeven-05
112,71,Koningshoeven-05
113,142,Koningshoeven-05
114,192,Koningshoeven-05
115,145,Koningshoeven-05
116,187,Koningshoeven-05
117,54,Koningshoeven-05
118,,Koningshoeven-05
119,75,Koningshoeven-05
120,144,Koningshoeven-05
121,68,Koningshoeven-05
122,68,Koningshoeven-05
123,142,Koningshoeven-05
124,33,Koningshoeven-05
125,,Koningshoeven-05
126,200,Koningshoeven-05
127,67,Koningshoeven-05
128,24,Koningshoeven-05
129,111,Koningshoeven-05
130,43,Koningshoeven-05
131,27,Koningshoeven-05
132,,Koningshoeven-05
133,15,Koningshoeven-05
134,153,Koningshoeven-05
135,91,Koningshoeven-05
136,184,Koningshoeven-05
137,205,Koningshoeven-05
138,47,Koningshoeven-05
139,,Koningshoeven-05
140,161,Koningshoeven-05
141,27,Koningshoeven-05
142,129,Koningshoeven-05
143,80,Koningshoeven-05
144,70,Koningshoeven-05
145,150,Koningshoeven-05
146,16,Koningshoeven-05
147,,Koningshoeven-05
148,,Koningshoeven-05
149,41,Koningshoeven-05
150,66,Koningshoeven-05
151,65,Koningshoeven-05
0,130,Westvleteren-12
1,,Westvleteren-12
2,3,Westvleteren-12
3,174,Westvleteren-12
4,81,Westvleteren-12
5,115,Westvleteren-12
6,,Westvleteren-12
7,,Westvleteren-12
8,127,Westvleteren-12
9,119,Westvleteren-12
10,146,Westvleteren-12
11,158,Westvleteren-12
12,206,Westvleteren-12
13,43,Westvleteren-12
14,39,Westvleteren-12
15,151,Westvleteren-12
16,,Westvleteren-12
17,52,Westvleteren-12
18,111,Westvleteren-12
19,17,Westvleteren-12
20,86,Westvleteren-12
21,117,Westvleteren-12
22,153,Westvleteren-12
23,59,Westvleteren-12
24,173,Westvleteren-12
25,181,Westvleteren-12
26,17,Westvleteren-12
27,140,Westvleteren-12
28,70,Westvleteren-12
29,8,Westvleteren-12
30,50,Westvleteren-12
31,165,Westvleteren-12
32,,Westvleteren-12
33,,Westvleteren-12
34,165,Westvleteren-12
35,139,Westvleteren-12
36,12,Westvleteren-12
37,115,Westvleteren-12
38,193,Westvleteren-12
39,164,Westvleteren-12
40,48,Westvleteren-12
41,123,Westvleteren-12
42,182,Westvleteren-12
43,52,Westvleteren-12
44,5,Westvleteren-12
45,,Westvleteren-12
46,165,Westvleteren-12
47,135,Westvleteren-12
48,55,Westvleteren-12
49,201,Westvleteren-12
50,,Westvleteren-12
51,35,Westvleteren-12
52,41,Westvleteren-12
53,169,Westvleteren-12
54,47,Westvleteren-12
55,142,Westvleteren-12
56,69,Westvleteren-12
57,,Westvleteren-12
58,136,Westvleteren-12
59,106,Westvleteren-12
60,165,Westvleteren-12
61,98,Westvleteren-12
62,78,Westvleteren-12
63,,Westvleteren-12
